job_title,company,address,job_type,seniority,categories,salary_from,salary_to,salary_type,description,url
Mid -  Senior Level Data Engineer,TRAVELOKA SERVICES PTE. LTD.,"ROBINSON 77, 77 ROBINSON ROAD 068896",Permanent,Executive,Information Technology,"$6,100","$10,700",Monthly,"Roles & ResponsibilitiesData Engineers at Traveloka are passionate on designing, building, and maintaining our growing big data platform. We collect millions of events everyday to our data lake for insights, and to our real time pipeline for enabling many data-driven features such as personalized user experience. What you do will be mixed of software engineering, system architecture design, and operation:  You will be designing, building, supporting and scaling our data infrastructure. Including monitoring, alerting and debugging infrastructure that is streaming millions of events per hour with thousands of pipelines running Collaborate and coordinate with other departments (product, etc) to solve their use case using data technology; state of the art big data stack such as Kafka, Pubsub, Spark, DataFlow, BigQuery, Airflow, etc. on hundreds of terabytes data. Explore/learn new technologies that can complement or replace our current stack to improve it.   Requirements Passion in big data, software engineering, and systems. Excellent analysis and reasoning of system behaviors 6+ years hands-on experience Uphold best practices and principle around clean code, testing, continuous integration Strong team player and collaborator Having high level of responsibility and resilience in dealing with issues Preferably familiar with big data infrastructure (such as Kafka, Spark, etc.), cloud based infrastructure, varying databases, security concerns would be an advantage. Familiar with Java/JVM. Python is added advantage  Experience working with data infrastructure will be valuable, but your desire to learn data infrastructure is more important. Having systems operational experience is a bonus, but not required. 	  ",https://www.mycareersfuture.sg/job/mid-senior-level-data-engineer-traveloka-services-9dadd0b7466285dd52264503a3893a77
Mid Level Data Engineer,TRAVELOKA SERVICES PTE. LTD.,"ROBINSON 77, 77 ROBINSON ROAD 068896",Permanent,Executive,Information Technology,"$4,300","$7,600",Monthly,"Roles & ResponsibilitiesData Engineers at Traveloka are passionate on designing, building, and maintaining our growing big data platform. We collect millions of events everyday to our data lake for insights, and to our real time pipeline for enabling many data-driven features such as personalized user experience. What you do will be mixed of software engineering, system architecture design, and operation:  You will be designing, building, supporting and scaling our data infrastructure. Including monitoring, alerting and debugging infrastructure that is streaming millions of events per hour with thousands of pipelines running Collaborate and coordinate with other departments (product, etc) to solve their use case using data technology; state of the art big data stack such as Kafka, Pubsub, Spark, DataFlow, BigQuery, Airflow, etc. on hundreds of terabytes data. Explore/learn new technologies that can complement or replace our current stack to improve it. 	  Requirements Passion in big data, software engineering, and systems. Excellent analysis and reasoning of system behaviors 3+ years hands-on experience Uphold best practices and principle around clean code, testing, continuous integration Strong team player and collaborator Having high level of responsibility and resilience in dealing with issues Preferably familiar with big data infrastructure (such as Kafka, Spark, etc.), cloud based infrastructure, varying databases, security concerns would be an advantage. Familiar with Java/JVM. Python is added advantage  Experience working with data infrastructure will be valuable, but your desire to learn data infrastructure is more important. Having systems operational experience is a bonus, but not required. 	  ",https://www.mycareersfuture.sg/job/mid-level-data-engineer-traveloka-services-25d8051597693057fd4fc7eb55143515
Junior - Mid Level Data Engineer,TRAVELOKA SERVICES PTE. LTD.,"ROBINSON 77, 77 ROBINSON ROAD 068896",Permanent,Fresh/entry level,Information Technology,"$3,000","$6,000",Monthly,"Roles & ResponsibilitiesData Engineers at Traveloka are passionate on designing, building, and maintaining our growing big data platform. We collect millions of events everyday to our data lake for insights, and to our real time pipeline for enabling many data-driven features such as personalized user experience. What you do will be mixed of software engineering, system architecture design, and operation:  You will be designing, building, supporting and scaling our data infrastructure. Including monitoring, alerting and debugging infrastructure that is streaming millions of events per hour with thousands of pipelines running Collaborate and coordinate with other departments (product, etc) to solve their use case using data technology; state of the art big data stack such as Kafka, Pubsub, Spark, DataFlow, BigQuery, Airflow, etc. on hundreds of terabytes data. Explore/learn new technologies that can complement or replace our current stack to improve it. 	  Requirements Passion in big data, software engineering, and systems. Excellent analysis and reasoning of system behaviors Fresh Graduate to 4 years hands-on experience Uphold best practices and principle around clean code, testing, continuous integration Strong team player and collaborator Having high level of responsibility and resilience in dealing with issues Preferably familiar with big data infrastructure (such as Kafka, Spark, etc.), cloud based infrastructure, varying databases, security concerns would be an advantage. Familiar with Java/JVM. Python is added advantage  Experience working with data infrastructure will be valuable, but your desire to learn data infrastructure is more important. Having systems operational experience is a bonus, but not required. 	  ",https://www.mycareersfuture.sg/job/junior-mid-level-data-engineer-traveloka-services-32e223ac87c140e00e2bec31f5d7eb29
L1 Desktop Engineer - Scotts Road - OS Backup & Server’s Data Backup (A1),THE SUPREME HR ADVISORY PTE. LTD.,"AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",Full Time,Senior Executive,Information Technology,"$1,800","$2,100",Monthly,"Roles & Responsibilitieslocation: Scotts Road   RequirementsMAIN ROLES AND RESPONSIBILITIES • OS Backup & Server’s Data Backup • Network, VOIP & Server Administration • PC’s Installation & Configuration • OS & Software Installation & Configuration • Troubleshooting PC’s, Notebook’s, Printer’s & Network Equipment • Troubleshooting OS & Software issues • Create/ Manage computer & notebook Asset List",https://www.mycareersfuture.sg/job/l1-desktop-engineer-scotts-road-os-backup-server%E2%80%99s-data-backup-supreme-hr-advisory-a13f8fd321d4437ec06552b3f6e51849
Data Engineer (Python / Central),PEOPLE PROFILERS PTE. LTD.,"SHAW TOWERS, 100 BEACH ROAD 189702",Permanent,Junior Executive,Information Technology,"$4,000","$6,000",Monthly,"Roles & Responsibilities Join a fast-expanding and highly-specialised tech company Good exposure in data analytics projects Central location Great company culture & working environment    Requirements  Make enhancements to data collection, structure & delivery Use automated methods for data compilation Build robust batch & streaming pipelines Write clear and high-quality code (including in Python) Work well in a team RequirementsRequirements  Degree in a technical/quantitative discipline e.g. Mathematics/Computer Science Ideally at least 1 year of relevant experience Experience in Python programming, web crawling Knowledge of AWS platforms     Helpful:  -Familiarity with ETL design & database management -Familiarity with NoSQL database -Knowledge of machine learning techniques   Successful candidates can expect a very competitive salary package with comprehensive benefits. Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant  Tel: +65 6594 9897 Fax +65 6835 7890   Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917",https://www.mycareersfuture.sg/job/data-engineer-people-profilers-c751566bb80319a39400f1f21ffd396b
Senior Engineer  /  Engineer - Data Management,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,"INFINEON, 8 KALLANG SECTOR 349282","Permanent, Full Time",Executive,"Engineering, Information Technology, Manufacturing","$3,000","$6,000",Monthly,"Roles & ResponsibilitiesYou are responsible to support the automated / productivity projects which are relevant to Automated Test Equipment (ATE), and improve data handling towards automation. In your new role you will:  Support automated / productivity projects relevant with Automated Test Equipment (ATE) & data handling Improve data clarity with scripting towards yield improvement Drive & improve data relevant KPI (data quality, process time) towards data automation Responsible for production of automated computer hardware and software for test equipment Install and configure, investigate, diagnose and solve ATE computer software and hardware issues RequirementsYou are best equipped for this task if you have:  Bachelor's Degree in Engineering / Information Technology Good knowledge on computer hardware, and standard application support Good communication & analytical problem-solving skills Previous experience in the semiconductor testing field will be advantageous Candidate must be comfortable working on both Windows and Linux environment Good Understanding of Programming / Query languages / Visualisation software such as Python,Perl, Javascript, C / C++, SQL,Tableau  Please apply via https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/32237-Senior-Engineer---Engineer-Data-Management/ ",https://www.mycareersfuture.sg/job/senior-engineer-engineer-data-management-infineon-technologies-asia-pacific-3403f6d4103cc4c5d37c0675be210fbc
Lead Electrical Engineer (Data Centre),PM ASIA PROJECT SERVICES PTE. LTD.,"THE SYNERGY, 1 INTERNATIONAL BUSINESS PARK 609917","Permanent, Contract",Senior Executive,Engineering,"$7,500","$11,000",Monthly,"Roles & ResponsibilitiesOverview:  Lead the Electrical Design of large scale, high end industrial facilities.  Have knowledge and experience in designing Electrical systems for Data Centres, including Medium Voltage, Low Voltage Power Systems, Emergency Power Systems, ELV’s (CCTV, Interlocks, Fire Alarm, Power Monitoring System) Work in a multi-disciplinary design office environment for global clients. Display a personal commitment to safety, hold safety as a core value and provide safety leadership in the performance of all work activities Be quality focussed, producing well engineered designs to the highest standards in an ISO9000 Quality System environment   Requirements Degree in Electrical Engineering, Chartered Engineer preferred At least 10 years’ of experience of relevant experience  Experience within the Data Centre/ Pharmaceutical / Food & Nutriton industry preferred ",https://www.mycareersfuture.sg/job/lead-electrical-engineer-pm-asia-project-services-670e2d8df5923f0e81e3b39995f7038f
Big Data Engineer (287102),SIEMENS PTE. LTD.,"THE SIEMENS CENTRE, 60 MACPHERSON ROAD 348615","Permanent, Full Time","Professional, Senior Executive",Information Technology,"$4,000","$7,000",Monthly,"Roles & ResponsibilitiesWhat are my responsibilities?  Responsible for the integration of large, structured and unstructured data volumes into the existing cloud platforms Development of scalable end-to-end data pipelines for batch and stream processing Execution of the data integration activities (ETL /ELT) for populating the data lake and integrating diverse data sources Execution an further development of the physical implementation of the logical data model into a physical implementation in the data lake Implementation of solutions for reference data and master data management within the context of the mobility data business Execution of data quality measurements and implementation of data quality improvement RequirementsWhat do I need to qualify for this job?  University degree in an appropriate area (e.g.informatics) At least 2 years of relevant work experience Experience with modern big data technologies like Hadoop, MapReduce, Kafka, Hive, Presto, Spark, etc. Experience with cloud solutions like AWS Experience with programming languages like SQL, Scala, Python, Java Experience with enterprise application integration ",https://www.mycareersfuture.sg/job/big-data-engineer-siemens-b60dbaf7939bcf609cb9866708a184ac
High-Performance Data Engineer,NIOMETRICS (PTE.) LTD.,"PARKVIEW SQUARE, 600 NORTH BRIDGE ROAD 188778",Permanent,Professional,Information Technology,"$5,500","$11,000",Monthly,"Roles & ResponsibilitiesWHAT WE DO We invite you to be part of our ambitious, close-knit team creating systems for large customers who need to crunch through Tbps of data in real-time. Our approach is relentless performance-oriented software engineering vs. server sprawl in our customers' datacentres. You will use the latest high-end hardware and continuously devise ways to push the envelope of software performance. We build in-house systems if we must. We had to for indexing 1M 60-column rows/s, for aggregating high throughput event streams over hundreds of combinations of dimensions, and for pattern matching 5M patterns at 100Gb/s per 2RU. We use these to solve real customer problems. You will experiment wildly. For example we implemented network monitoring using a GPU, and we tested 4-socket machines with 2T RAM. Our current favourite platform is a 2-socket system with E5-2699v4 CPUs (88 lcores in total), 4x40Gbps NICs and 1T RAM, which we use to process 160Gbps. You will help us build a successful software platform for the long run. We invest a lot in flexibility, such as with our extensible rule engine and declarative aggregation system that empowers our analysts and helps us minimise the C code we have to write for supporting disparate use-cases. We know the devil is in the details. You will improve performance through better memory allocation systems and better data structures, all while ensuring that they are integrated with Address Sanitizer and fully tested using unit tests and end-to-end regression tests. We work end-to-end. You will implement data engineering solutions that are both efficient and secure for handling events from 500 million users, and to extract insight without leaking individual information. We want to show off. To attract the best programmers we plan to showcase our technology. You can be part of our effort to open-source interesting pieces of our technology stack.   YOUR ROLE AS HIGH-PERFORMANCE DATA ENGINEER As a High-Performance Data Engineer, you will create and maintain tools, mainly in C, for crunching large amounts of data in files or streams. You will have to think both big, in terms of overall architecture, and small, in terms of low-level optimisations, to deliver solutions that are reusable, and match the performance of the best hardware. Every capability you add directly translates to new offerings made possible. Every percent of performance improvement directly translates to large cost savings. At the same time, the correctness and reliability of your work will be the cornerstone to our customers’ trust.RequirementsWHAT WE VALUE  Bachelor’s or Higher Degree in Computer Science or equivalent Software craftsmanship Attention to reliability and successful delivery Experience with large C code bases and high-performance C programming Familiarity with shared memory data structures and parallel algorithms Proficiency with Linux system & development tools ",https://www.mycareersfuture.sg/job/high-performance-data-engineer-niometrics-66d8658e3e2ccf132df50b9b94f43931
Data Center (System) Engineer,CAPITA PTE. LTD.,"ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960","Contract, Full Time",Junior Executive,Information Technology,"$2,500","$3,000",Monthly,"Roles & Responsibilities​Responsibility   Monitoring of ESX, OS Batch Monitoring Service Request Execution Coordinate with Appointed vendor for Offsite tape archival Restoration of VM/s Batch execution and monitoring, batch output & event handling, batch incident identification, escalation & reporting Tape backups, media handling, tape library operations and off-site storage Server health checks Start-up, shutdown, reboot/restart systems & services Generate daily/ weekly/ monthly/ yearly/ ad-hoc reports and dispatch reports to users & customers Adhere to all operational & physical security procedures Provide operational support during DR Exercises at DR sites Work towards acceptable audit rating RequirementsRequirements:  Minimum 1 year of experience in Data Center Experience in monitoring of servers and network Tape management, facility checks  Interested candidates, please click the Äpply Now"" below Only shortlisted applicants will be notified by our consultants.   CAPITA PTE LTD | EA License No : 08C2893 Tan Chin Yin | REG No : R1762272",https://www.mycareersfuture.sg/job/data-center-engineer-capita-55edf1efb48a58087f2beab5fe483a24
Data Development Engineer,Company Undisclosed,,Full Time,Professional,Banking and Finance,"$6,000","$8,000",Monthly,"Roles & ResponsibilitiesWorldQuant develops and deploys systematic financial strategies across a variety of asset classes and global markets. We seek to produce high-quality predictive signals (Alphas) through our proprietary research platform to employ financial strategies focused on exploiting market inefficiencies. Our teams work collaboratively to drive the production of Alphas and financial strategies – the foundation of a sustainable, global investment platform.   Technologists at WorldQuant research, design, code, test and deploy projects while working collaboratively with researchers and portfolio managers. Our environment is relaxed yet intellectually intense. Our teams are lean and agile, which means rapid prototyping of products with immediate user feedback. We seek people who think in code, aspire to solve undiscovered computer science challenges and are motivated by being around like-minded people. In fact, of the 600 employees globally, approximately 500 of them code on a daily basis.   WorldQuant’s success is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Great ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess a mindset of continuous improvement. That’s a key ingredient in remaining a leader in any industry.      Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an exceptional talent. There is no roadmap to future success, so we need people who can help us create it. Our collective intelligence will drive us there.   The Role: In this role, candidate will implement and maintain software towards creation of new datasets. Data sets will be consumed internally by researchers and utilized by internal quantitative models. Candidate will design efficient algorithms for collection, analysis, processing and filtering of data.    Work with the global team in designing and implementing data retrieval software for various data sets Implement the rules and procedures that ensure integrity in data sets Collect and analyze statistics on market data applications and devise approaches to improve the relevant processes Develop and enhance monitoring tools to detect various types of errors in data RequirementsWhat You’ll Bring:    Background in Computer Science, Engineering, Math or Physics, with minimum Bachelor’s degree. Proof of good academic record (such as GPA and other relevant test scores) Effective problem-solving skills both independently and as member of a team Good communication skills: must be fluent in English, spoken and written Experience working under Linux environment, familiar with vi or emacs for editing files Interested in applying technology to real world situation, comfortable working in fast paced work environment, detail oriented and capable performing tasks under time pressure Experience with programming in C/C++, familiar with common algorithms and data structures (binary tree, sorting, etc), Object Oriented programming and design patterns. Familiarity with compilers, debuggers under Linux (gcc, g++, gdb). Experience with scripting languages, such as Perl, Python, and shell scripting Knowledge of basic statistics/probability, familiar with concepts such as correlation, standard deviation and how to compute Familiarity with databases (such as MySQL) ",https://www.mycareersfuture.sg/job/data-development-engineer-38aad66c1a08506f4012e0c235d5b40c
MCT QE Engineer (Data Specialist),Company Undisclosed,,"Permanent, Full Time",Non-executive,"Engineering, Manufacturing","$4,000","$8,000",Monthly,"Roles & ResponsibilitiesResponsibilities •As a Manufacturing Central Team Quality Engineer at company, you will be a member of the worldwide Quality Team responsible for QDRs, reducing variation and deviations for all company's Fabs. •Specific to your role as Data Specialist, your work will encompass the responsibilities of an architect, a designer and a developer/administrator. You need to have an in-depth understanding of database and structure and use those skills and knowledge to maintain their stability and reliability. •You will work with SMEs to identify their needs and to design and implement reporting dashboard and data structure to meet their requirements for quality improvement; your work will also extend to recommend improvements to meet the demands of swiftly changing interface technology; you will also be in charge of performing backups procedures to protect the data.RequirementsRequirements: •A Computer Science degree or related disciplines. •A solid and wide-reaching foundation in programming and database structures is required. (SQL, Perl, C++, PHP) •A good knowledge of Tableau or related software that able to present data in a meaningful manner to enable SMEs to perform analysis. •In addition to possessing technical know-how and being communication savvy, data specialists must also be creative problem solvers",https://www.mycareersfuture.sg/job/mct-qe-engineer-8904f86cd01b51bb85ec6a26fa44e23b
Senior Data Engineer,KPLER PTE. LTD.,,Full Time,Senior Executive,Information Technology,"$7,000","$10,000",Monthly,"Roles & ResponsibilitiesWho are we ?   Kpler is an intelligence company providing transparency solutions in energy markets. We develop proprietary technologies that systematically aggregate data from hundreds of sources ranging from logistical and commercial, to governmental and shipping databases. By connecting the dots across fragmented information landscapes, we are able to provide our clients with unique, real-time market coverage.   We rely on intelligent people to build intelligent software. Our team is composed of individuals of various backgrounds, with diversified skill sets and international experiences. Our clients are players across the energy market spectrum, with offices from Houston to Singapore.   Role Purpose   We are looking for a Senior Data Engineer to join our software engineering team in Singapore to work on our data pipelines (collect, manage, data lake storage), data algorithms (based on either business rules, constraint programming, ML, etc.) and be a technical referent in Python and/or Scala. Our future team member will have a good understanding of data collection and management of complex B2B business rules. Also, you will take ownership of large features from technical design through completion. At Kpler, the Senior Data Engineer is at the centre of our research delivery and will have a key role in defining architecture, helping identify and implement areas for improvement within our data methodologies and technologies used. Based in Singapore, you will also interact with the Paris engineering team; being able to communicate efficiently in English (mandatory, we have more than 15 nationalities at Kpler!) and work with remote team members is key.   Also, you will:  Coach and work on code review with more junior engineers Ensure integrity of data through creative, robust and sustainable quality control methods Participate in operations/support of the real-time platforms Participate in defining coding standards, specifications and development processes Translating technical concepts to/from non-technical language RequirementsKnowledge & Experience   Must Have    At least 5 years of experience in similar roles working Python and/or Scala and cloud infrastructure (Amazon AWS) on linux servers Experience with SQL (PostgreSQL or equivalent) Proficiency developing automated unit and integration tests and continuous integration  Ability to learn quickly and deliver high quality code in a fast-paced, dynamic team environment     Nice to have    Knowledge of SqlAlchemy, Scala Play2, ElasticSearch, Heroku Experience of data management lifecycles (collection, cataloguing, ETL design) Experience with geographic information systems (PostGIS for instance) Experience of LEAN methodologies and approaches to process optimisation ",https://www.mycareersfuture.sg/job/senior-data-engineer-kpler-dedd2bb8800198d1af9afdc64ca90870
Data Quality Engineer,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,"SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",Contract,Executive,Information Technology,"$9,000","$12,000",Monthly,"Roles & ResponsibilitiesThis is a new initiative of the bank within a pioneer team to bring data quality into operations. The primary work comprises of ETL tool programming, data quality implementation, data governance and change & release management.  RequirementsData quality implementation experience 2) Preferably with Infomatica Data Quality tool OR other DQ tools like Trilium, IBM QualityStage or Microsoft data quality services(DQS) 3) Change and release management experience Experience with data warehousing and data mart development will be a good to have. Skills & Competencies: (free text) Technical skills refer to job-specific knowledge, skills and abilities (e.g. programming, 3D modelling, marketing, etc), Generic skills refer to skills that can be transferred from one job to another (e.g. communication, problem-solving). 1) Data quality implementation experience; 2) Preferably with Infomatica Data Quality tooling experience OR other DQ tools like Trilium, IBM QualityStage or Microsoft data quality services(DQS) 3) Strong change and release management experience Experience with data warehousing and data mart development will be a good to have.",https://www.mycareersfuture.sg/job/data-quality-engineer-allegis-group-singapore-0314d2030cb171e97a3b626d602a8f4b
Data Quality Engineer,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,"SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",Contract,Executive,Information Technology,"$5,000","$9,000",Monthly,"Roles & ResponsibilitiesThis is a new initiative of the bank within a pioneer team to bring data quality into operations. The primary work comprises of ETL tool programming, data quality implementation, data governance and change & release management.  RequirementsData quality implementation experience 2) Preferably with Infomatica Data Quality tool OR other DQ tools like Trilium, IBM QualityStage or Microsoft data quality services(DQS) 3) Change and release management experience Experience with data warehousing and data mart development will be a good to have. Skills & Competencies: (free text) Technical skills refer to job-specific knowledge, skills and abilities (e.g. programming, 3D modelling, marketing, etc), Generic skills refer to skills that can be transferred from one job to another (e.g. communication, problem-solving). 1) Data quality implementation experience; 2) Preferably with Infomatica Data Quality tooling experience OR other DQ tools like Trilium, IBM QualityStage or Microsoft data quality services(DQS) 3) Strong change and release management experience Experience with data warehousing and data mart development will be a good to have.",https://www.mycareersfuture.sg/job/data-quality-engineer-allegis-group-singapore-da13bc3e09061498bdcc9263e243ea86
"Senior Associate, DevOps Engineer, Group Consumer Banking and Big Data Analytics Tech (180004DY)",DBS BANK LTD.,,"Permanent, Full Time",Senior Executive,Banking and Finance,"$5,000","$10,000",Monthly,"Roles & ResponsibilitiesJob Purpose  The role forms part of the Insurance and Investment Platform technology team. Develop and deliver technology solutions relating to web and mobile applications across wealth customer segments.   Key Accountabilities  Engineer CI/CT/CD pipeline that is optimized to run within minutes Enforce best practices in code quality and release/deployment process to achieve near zero production incidents    Responsibilities  Architect, build and maintain continuous integration, testing and deployment (CI/CT/CD) pipeline for web and mobile apps Collaborate with architects, development engineers and system administrators to provision and maintain the platform infrastructure both on premise as well as cloud (for development, test and production environments) Build and maintain system and application health check and house-keeping jobs Troubleshoot system and connectivity errors and follow up with administrators, vendors or other teams for timely resolution Develop, maintain and document best practices in source control management and infrastructure as code  Track, maintain and renew infrastructure, web and mobile application key-stores and profiles Track, enforce and maintain code quality, security and performance reports Identify improvement areas and engage the required stakeholders to successful implement the changes Keep track of evolving technologies and perform proof of concept integrations for successful platform integrations as per roadmap Maintain platform collaboration tools such as JIRA and Confluence Requirements Experience and exposure to other DevOps related infrastructure software (such as ZABBIX, Puppet, Graphite, ELK stack, Kickstart, tcp wrappers, iptables, yum/apt-get) for classic sys admin functions (building hosts, monitoring, alerting, account management, releasing software, and security. Oracle, or MySQL 5.X, IBM DB2 (Any), SqLite (for Mobile devices), mariadb Build Tool: Ant, Maven, Gradle (Any) Version Control: CVS, SVN, GIT WebSphere Administration WebSphere MQ administration. DevOps – Jenkins/Bamboo, SonarCube, HP Fortify. Atlasian tools: Bitbuket, JIRA, Confluence, Bamboo and SharePoint Mobile application tools – Kony IDE, XCode, Android Studio, Ant, Maven, Gradle  AIX/Unix Administration Tomcat/IBM HTTP Server administration ",https://www.mycareersfuture.sg/job/senior-associate-devops-engineer-group-consumer-banking-big-data-analytics-tech-dbs-bank-4a3a66a54557b6de2aa9a5978bb99f4e
Data Engineer,GOVERNMENT TECHNOLOGY AGENCY,"MAPLETREE BUSINESS CITY, 10 PASIR PANJANG ROAD 117438",Permanent,,"Information Technology, Public / Civil Service",,,,"Roles & ResponsibilitiesThe Government Digital Services team is seeking an accomplished Data Engineer. We are a team in GovTech that aims to design and develop software applications that help government agencies to better serve the needs of Singaporeans. We adopt an Agile development approach and work towards adopting tech best practices and cutting edge tools.
We are looking for a savvy Data Engineer to join our growing team of analytics experts. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up.
The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.
What To Expect:

Create and maintain optimal data pipeline architecture.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and ‘big data’ technologies.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Keep our data separated and secure through multiple data centers.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.

How To Succeed:

Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
Experience supporting and working with cross-functional teams in a dynamic environment.
We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. Preferably with the experience of using the following software/tools:

Experience with big data tools: Hadoop, Spark, Kafka, RabbitMQ etc.
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.
Experience with AWS cloud services: EC2, EMR, RDS, Redshift
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with either of these languages: Python, Java.


",https://www.mycareersfuture.sg/job/data-engineer-government-technology-agency-8580bddf71991ce3f59d7459c8c0451f
Data Engineer,MOKA TECHNOLOGY SOLUTIONS PTE. LTD.,,"Permanent, Full Time",Professional,Engineering,"$5,000","$7,500",Monthly,"Roles & ResponsibilitiesDo you have a passion for data? Are you looking to push the frontiers of innovation and build the Next Big Data Product? We are looking for excellent Data Engineers who are keen to help us manage the end-to-end data pipeline and drive big data solutions.  You will:  Design, implement and manage end to end data pipelines (ETL, data streaming and warehousing) so as to make data easily accessible for analysis. Integrate with third party APIs for accessing external data. Create and maintain data warehouses for reporting or analysis. Consult and partner with engineering and product teams to execute data-related product initiatives. Ability to quickly resolve performance and systems incidents. Evaluate the latest monitoring and automation tools. RequirementsYou have:  BS (MS preferred) in Computer Science or Computer Engineering. Excellent software engineering skills and proven track record (4+ years experience) in building automated, scalable and robust data processing systems. Proficiency in SQL, bash scripts and Python (or similar languages). Intermediate understanding of database technologies. Experience with data warehouse systems (e.g. Redshift) and batch/semi-online building blocks (e.g. MapReduce, Spark etc). Demonstrated expertise in working with large scale quantitative data. Excellent attention to detail and team player. ",https://www.mycareersfuture.sg/job/data-engineer-moka-technology-solutions-9a2882ca74c6e52d5a8f33fbc7a5a572
Data Engineer (Python developer),NTT DATA SINGAPORE PTE. LTD.,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Contract,"Executive, Junior Executive, Senior Executive",Information Technology,"$5,000","$7,500",Monthly,"Roles & Responsibilities Own, develop and enhance the prototype cost allocation model for Singapore     Taking over the existing model and making further modifications / enhancements as required   Customise the prototype as required for rolling out the new cost allocation design to other countries     Implementing modifications / enhancements to the prototype as required for each country   RequirementsWe are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Information Systems. The candidate should also have experience using the following software/tools:  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing 'big data' pipelines, data architectures and data sets. Experience with big data tools: Hadoop, Spark. Experience with object-oriented function scripting languages: Python, C++ Experience with statistical computer languages (Python, SQL, R) to manipulate data and draw insights from large data sets. Experience with common data science toolkits, such as NumPy, Pandas. R, etc. Knowledge of machine learning techniques and algorithms, such as K-NN, Naive Bayes, SVM, Decision Forests, etc. Experience with data visualisation tools, such as D3.js, GGplot, QlikView, etc. ",https://www.mycareersfuture.sg/job/data-engineer-ntt-data-singapore-f652dac9e4485a097f8ae664ee69eb15
